ux,uy,uz,p
0.128288,0.0002254878,-0.00140246,-0.009983331
0.1286156,0.0002734781,-0.001960091,-0.009934295
0.1294438,0.0002856215,-0.002656288,-0.009872063
0.1307124,0.0002559117,-0.003355133,-0.009795525
0.1519503,-9.542951E-05,-0.003453245,-0.01014023
0.1496098,-8.882597E-05,-0.002725919,-0.01012027
0.1471879,-5.077488E-05,-0.002037072,-0.01009955
0.1450723,1.271472E-05,-0.001497076,-0.01007727
0.1435099,9.449742E-05,-0.001199517,-0.010052
0.1425836,0.0001848941,-0.001205638,-0.01002163
0.1422813,0.0002685361,-0.001526667,-0.009983379
0.1425801,0.0003259688,-0.002110744,-0.009934279
0.1434644,0.0003405487,-0.002846833,-0.009872057
0.14487,0.0003051322,-0.003588595,-0.009795628
0.1676321,-0.0001139841,-0.003839087,-0.010141
0.1650676,-0.0001059787,-0.003047747,-0.010121
0.1623765,-6.102787E-05,-0.002293702,-0.01010019
0.1599842,1.381747E-05,-0.001695764,-0.01007779
0.1581704,0.0001101665,-0.001355209,-0.01005237
0.1570427,0.0002166546,-0.001339106,-0.01002188
0.1566081,0.0003152179,-0.001661137,-0.009983524
0.1568594,0.0003829574,-0.002267191,-0.00993437
0.1577905,0.0004002721,-0.003039243,-0.009872167
0.1593339,0.0003587854,-0.003820925,-0.009795846
0.1837731,-0.0001340398,-0.004253097,-0.01014183
0.1809835,-0.000124456,-0.003397742,-0.01012178
0.1780125,-7.203234E-05,-0.002577625,-0.01010089
0.1753231,1.504522E-05,-0.001919806,-0.01007837
0.1732304,0.0001270632,-0.00153319,-0.01005282
0.1718709,0.0002508815,-0.001490874,-0.0100222
0.1712758,0.0003655629,-0.001809466,-0.009983763
0.1714586,0.0004444998,-0.002433179,-0.009934573
0.1724255,0.0004648913,-0.003237511,-0.009872394
0.1741069,0.000417027,-0.004056413,-0.009796185
0.200387,-0.0001555221,-0.004698377,-0.01014271
0.1973726,-0.0001441697,-0.003779117,-0.01012261
0.194111,-8.369848E-05,-0.002892204,-0.01010165
0.1911035,1.647132E-05,-0.002172707,-0.01007901
0.1887027,0.0001452361,-0.00173707,-0.01005333
0.1870786,0.0002876094,-0.001664637,-0.0100226
0.1862924,0.0004196161,-0.001975453,-0.0099841
0.1863832,0.0005106776,-0.002612674,-0.009934885
0.1873734,0.000534542,-0.003445839,-0.009872741
0.1891921,0.000480054,-0.00429953,-0.009796647
0.217487,-0.000178351,-0.005177677,-0.01014365
0.2142491,-0.0001650244,-0.004194811,-0.01012349
0.2106869,-9.592916E-05,-0.003240632,-0.01010245
0.2073397,1.817458E-05,-0.002457922,-0.01007969
0.2046003,0.0001647378,-0.001970519,-0.0100539
0.2026768,0.0003268791,-0.00186423,-0.01002309
0.2016663,0.0004774366,-0.00216309,-0.009984534
0.2016396,0.0005815965,-0.002809859,-0.009935311
0.2026387,0.0006093941,-0.00366864,-0.00987321
0.2045932,0.0005481039,-0.00455491,-0.009797235
0.2350854,-0.000202441,-0.005693256,-0.01014463
0.2316269,-0.000186916,-0.004647357,-0.01012441
0.2277546,-0.0001086185,-0.003625831,-0.01010329
0.2240459,2.023956E-05,-0.002778785,-0.01008043
0.2209362,0.0001856237,-0.002237225,-0.01005453
0.2186765,0.0003687354,-0.002093612,-0.01002365
0.2174064,0.0005390941,-0.002376558,-0.009985065
0.2172343,0.0006573847,-0.003029131,-0.009935851
0.2182263,0.0006896509,-0.003910529,-0.009873805
0.2203139,0.0006214536,-0.004827348,-0.009797952
0.2531936,-0.0002276982,-0.006246711,-0.01014566
0.2495186,-0.0002097282,-0.005138732,-0.01012537
0.2453275,-0.0001216486,-0.004050329,-0.01010418
0.2412356,2.275828E-05,-0.003138416,-0.01008122
0.2377231,0.0002079516,-0.002540826,-0.01005522
0.2350889,0.0004132251,-0.002356826,-0.01002428
0.2335217,0.0006046671,-0.002620209,-0.00998569
0.2331742,0.0007381905,-0.003275097,-0.009936504
0.2341413,0.0007755469,-0.004176327,-0.009874524
0.2363589,0.0007004176,-0.005121791,-0.0097988
0.2718212,-0.0002540181,-0.006838789,-0.01014674
0.2679352,-0.000233328,-0.005670184,-0.01012637
0.2634176,-0.0001348845,-0.00451611,-0.0101051
0.2589212,2.58338E-05,-0.003539605,-0.01008205
0.2549731,0.0002317827,-0.002884834,-0.01005596
0.2519249,0.0004603958,-0.002657944,-0.01002498
0.2500213,0.0006742402,-0.002898531,-0.009986408
0.2494666,0.0008241793,-0.003552554,-0.009937271
0.2503897,0.0008673461,-0.004471041,-0.00987537
0.2527328,0.000785347,-0.005443334,-0.009799781
0.290976,-0.0002812813,-0.007469181,-0.01014785
0.2868858,-0.0002575587,-0.006242042,-0.0101274
0.2820349,-0.0001481672,-0.005024449,-0.01010606
0.2771132,2.958567E-05,-0.003984681,-0.01008291
0.2726968,0.0002571848,-0.003272535,-0.01005675
0.2691944,0.000510296,-0.003001007,-0.01002575
0.266914,0.000747902,-0.003216111,-0.009987215
0.2661187,0.0009155312,-0.003866467,-0.009938149
0.2669773,0.0009653392,-0.004799862,-0.009876344
